FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.39,39,Fillipsparken,Kastrupvej 74,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Amager Øst,727638.80398479,6173508.26929598,12.61855887,55.65398371,POINT (12.618558865259075 55.6539837382095)
toilet_puma_agg_tmf_kk.40,40,"Fælledparken, Bikuben",Edel Sauntes Allé 1,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,723848.51318152,6178332.18440797,12.56237378,55.69900491,POINT (12.562373776389123 55.6990049379921)
toilet_puma_agg_tmf_kk.41,41,Pilesvinget,Pilesvinget 80,2700 Brønshøj,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),719023.74265451,6179183.29795008,12.48643284,55.70883969,POINT (12.486432843162524 55.70883972640232)
toilet_puma_agg_tmf_kk.42,42,Nørrebroparken,Stefansgade 24,2200 København N,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Nørrebro,722644.38023676,6177823.58046598,12.54283907,55.69499752,POINT (12.542839072047745 55.69499754847752)
toilet_puma_agg_tmf_kk.43,43,Sundbyvester Plads,Sundbyvester Plads 2A,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,727352.43134456,6172672.38491594,12.61332563,55.64662185,POINT (12.613325629207303 55.646621881522535)
toilet_puma_agg_tmf_kk.44,44,"Fælledparken, Det røde toilet (som er hvidt)",Edel Sauntes Allé 18,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724028.03142485,6178531.19017727,12.56538713,55.70070676,POINT (12.565387128008721 55.700706789348764)
toilet_puma_agg_tmf_kk.45,45,Sønder Boulevard,Sønder Boulevard 60B,1720 København V,Toilet med handicapadgang,Danfo,Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723350.42696184,6174641.6484381,12.55146009,55.66613717,POINT (12.551460085787125 55.66613720512259)
toilet_puma_agg_tmf_kk.46,46,Toftegårds Plads,Toftegårds Plads 2F,2500 Valby,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,721244.92237152,6174055.56860668,12.51757985,55.66184412,POINT (12.517579848824735 55.66184414999351)
toilet_puma_agg_tmf_kk.47,47,Toftegårds Plads,Toftegårds Plads 6F,2500 Valby,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Valby,721231.30900609,6174106.33838231,12.51740475,55.66230564,POINT (12.517404749557585 55.662305675804504)
toilet_puma_agg_tmf_kk.48,48,Trianglen,Østerbrogade 29B,2100 København Ø,Toilet med personale og handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724802.03513303,6178416.81339735,12.57758463,55.69932314,POINT (12.577584629479299 55.69932317095695)
toilet_puma_agg_tmf_kk.49,49,Utterslev Torv,Utterslev Torv  9,2400 København NV,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,720936.90924577,6179411.54495585,12.51700676,55.71001927,POINT (12.51700675972711 55.710019301402895)
toilet_puma_agg_tmf_kk.50,50,Valby Tingsted,Valby Tingsted 1B,2500 Valby,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Valby,721014.09467408,6174523.89077904,12.51429445,55.6661493,POINT (12.514294451742531 55.66614933556141)
toilet_puma_agg_tmf_kk.51,51,Ved Stranden,Ved Stranden 18A,1061 København K,Toilet med handicapadgang,Københavner,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725133.5334339,6176013.11058139,12.58087568,55.67761346,POINT (12.580875680962876 55.67761349658396)
toilet_puma_agg_tmf_kk.52,52,Vesterbros Torv,Vesterbrogade 47F,1620 København V,Toilet med personale,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave (udl.),723557.90528396,6175331.09952587,12.55531332,55.67222485,POINT (12.555313317687503 55.67222488509775)
toilet_puma_agg_tmf_kk.53,53,Nær Legepladsen i Vigerslevsparken,Vigerslevvej 346,2500 Valby,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Valby,719945.02592958,6172236.06678463,12.49550011,55.64611553,POINT (12.495500105774155 55.64611556171288)
toilet_puma_agg_tmf_kk.54,54,Metrostation Bella Center,Ørestads Boulevard 39,2300 København S,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Amager Vest,725497.63831925,6171673.56136615,12.58309339,55.63852813,POINT (12.58309338916763 55.638528161355254)
toilet_puma_agg_tmf_kk.55,55,Folkets Park,Stengade 48,2200 København N,Toilet,Cph Urban (sæson eller helårs),Nej,Døgnåbent,Helårsåbent,MidlertidigUdeAfDrift,TMF (Kontrakter),Nørrebro,723451.22507864,6177003.29753527,12.55498197,55.6872704,POINT (12.554981973397641 55.687270435371055)
toilet_puma_agg_tmf_kk.56,56,Ørestadsparken,Ørestads Boulevard 66,2300 København S,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Vest,725327.76380701,6171077.94299801,12.57991234,55.63326538,POINT (12.579912344754469 55.63326541410582)
toilet_puma_agg_tmf_kk.57,57,"Fælledparken, Sansehaven",Øster Allé 1E,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,724536.81690828,6178470.08199744,12.5734167,55.69992362,POINT (12.573416697923927 55.69992365056202)
