"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"473","Boderne 6B","3720","Åkirkeby","55.023219","14.907712","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: P-plads ved Boderne.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/boderne6b2.jpg"
"417","Bækken 2B","3760","Gudhjem","55.201799","14.981484","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Melsted strand.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/baekken2b3.jpg"
"464","Bølshavn 19B","3740","Svaneke","55.154386","15.076791","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: Bølshavn Havn.
Åbningsperiode: lukket fra 1. nov. - 31. april.","Bornholm","sites/default/files/images/475/2017/07/bolshavn19b3.jpg"
"462","Dammegårdsvej 3","3782","Klemensker","55.188255","14.832264","Unisex","Nej","Nej","Nej","Nej","Nej","Placering P-plads ved Dammegårdsvej, Kleven.","Bornholm","sites/default/files/images/475/2017/07/dammegardsvej3.jpgsites/default/files/images/475/2017/07/dammegardsvej3inde.jpg"
"403","Fælledvej 65","3790","Hasle","55.171805","14.715183","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Shelterplads i Hasle lystskov. (tørkloset) ca. 200 m. fra Fælledvej.","Bornholm","sites/default/files/images/475/2017/06/faelledvej65_0.jpg"
"1002","Galøkken strand","3700","Rønne","55.088809","14.700378","Unisex","Nej","Nej","Nej","Ja","Ja","Placering: Ved Galøkken strand
Åbningsperiode: Åbent","Bornholm","sites/default/files/images/475/2023/06/toiletgallokken.jpg"
"471","Gedebakkevej 8","3720","Åkirkeby","55.005186","14.962008","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: P-plads ved Gedebakke Odde.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/gedebakkevej81.jpg"
"414","Gråmyrvej 11","3760","Gudhjem","55.208258","14.968086","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: WC-kabine ved Holkadalen.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/gramyrvej119.jpgsites/default/files/images/475/2017/06/gramyrvej115.jpg"
"480","Havnegade 38B","3770","Allinge","55.280977","14.797003","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Kampeløkkehavn.","Bornholm","sites/default/files/images/475/2017/07/havnegade38b.jpg"
"435","Havnen 23","3790","Hasle","55.187320","14.704558","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Hasle Havn, servicebygning. Ved siden af Hasle Havnegrill.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/havnen23_0.jpg"
